meanHue, mom1, mom2, mom3, mom4, mom5, mom6, mom7,class
0.0772507, 0.000746464,8.94118e-009,5.56529e-012,2.91806e-012,-1.06324e-023,-2.37951e-016,5.02352e-024,mela_gialla
0.0722923, 0.000739424,4.84382e-009,2.29036e-012,2.35758e-012,-3.78906e-024,-5.36461e-017,3.95672e-024,mela_gialla
0.0846417, 0.00075917,1.43278e-009,1.24941e-011,2.79037e-012,-4.16592e-024,-1.05361e-016,1.59404e-023,mela_gialla
0.0835522, 0.00073857,1.86101e-008,5.53958e-012,2.38913e-012,-8.46372e-024,-3.2517e-016,-1.97714e-024,mela_gialla
0.075082, 0.000738742,4.72267e-009,4.07691e-012,2.28287e-012,-5.36391e-024,-5.0117e-017,4.44207e-024,mela_gialla
0.0892089, 0.000731531,1.53893e-008,6.70624e-012,1.81431e-012,-5.21335e-024,-2.23756e-016,-3.58778e-024,mela_gialla
0.0747896, 0.00074164,6.03876e-009,3.04074e-012,2.31414e-012,-5.41522e-024,-6.04724e-017,2.89111e-024,mela_gialla
0.0650081, 0.000752389,6.42839e-008,4.79691e-011,3.50259e-012,-4.53688e-023,-8.85059e-016,-1.70739e-024,mela_gialla
0.0719994, 0.000733418,2.08142e-008,9.28627e-012,1.92028e-012,-5.99108e-024,-1.05928e-016,-5.46469e-024,mela_gialla
0.0672339, 0.000740948,5.91234e-008,3.52669e-011,2.53471e-012,-2.28492e-023,-6.12112e-016,-7.22721e-024,mela_gialla
0.0831894, 0.000731468,1.58689e-008,3.70978e-012,1.80927e-012,-3.68773e-024,-5.76713e-017,-2.89345e-024,mela_gialla
0.0628035, 0.000744572,6.13822e-008,4.03139e-011,2.92549e-012,-3.1079e-023,-7.24299e-016,-6.59292e-024,mela_gialla
0.083111, 0.000732034,1.46397e-008,5.01334e-012,1.85822e-012,-4.31179e-024,-5.33194e-017,-3.68454e-024,mela_gialla
0.0727574, 0.000733677,1.34479e-008,4.70058e-012,2.05083e-012,-5.80897e-024,-7.50222e-017,-2.60793e-024,mela_gialla
0.0785352, 0.000686208,1.52658e-008,2.92394e-012,4.61188e-013,4.90551e-025,4.71502e-017,-2.14881e-025,mela_gialla
0.0841183, 0.000697125,1.09729e-008,2.58632e-012,8.87456e-013,8.65999e-025,7.59361e-017,-1.02846e-024,mela_gialla
0.0747702, 0.000738937,3.02395e-009,8.19445e-012,2.40147e-012,-8.2461e-024,-1.32058e-016,6.74463e-024,mela_gialla
0.0790769, 0.000695576,9.34311e-009,2.83776e-012,7.18222e-013,5.03817e-025,5.42645e-017,-8.93046e-025,mela_gialla
0.0761519, 0.000684687,1.34467e-008,2.24214e-012,4.48212e-013,4.23121e-025,4.70065e-017,-1.51186e-025,mela_gialla
0.0694091, 0.000734371,4.63608e-010,3.50987e-012,1.29503e-012,-1.8597e-024,-1.15971e-017,-2.04072e-024,mela_gialla
0.066814, 0.00075342,1.60587e-009,3.68011e-012,1.78718e-012,-3.82069e-024,-2.72603e-017,-2.53169e-024,mela_gialla
0.0840308, 0.000734912,2.75656e-009,7.18741e-012,2.12465e-012,-7.01428e-024,-1.10355e-016,4.44235e-024,mela_gialla
0.0635988, 0.000765454,1.36653e-009,2.09511e-012,1.61533e-012,-2.36074e-024,-7.83504e-018,-1.80487e-024,mela_gialla
0.0663955, 0.000759505,3.72014e-009,1.00775e-011,1.58326e-012,-2.60042e-024,-8.28524e-017,5.76483e-024,mela_gialla
0.0823716, 0.00077119,1.47985e-009,8.66998e-012,1.04096e-012,-9.93457e-025,-3.38287e-017,2.96524e-024,mela_gialla
0.0662472, 0.000747871,9.37078e-009,7.28573e-012,1.52066e-012,-4.31407e-024,-1.46743e-016,2.64728e-024,mela_gialla
0.0593153, 0.000753905,1.21544e-008,1.5817e-011,2.10955e-012,-7.85992e-024,-2.15583e-016,9.31182e-024,mela_gialla
0.0826332, 0.00076978,6.05565e-009,9.72214e-012,4.24097e-012,-1.20866e-023,-2.96712e-016,2.44027e-023,mela_gialla
0.0755594, 0.000765237,4.59794e-009,1.08733e-011,4.02868e-012,-1.21258e-023,-2.24064e-016,2.37473e-023,mela_gialla
0.0787371, 0.000798171,8.68091e-008,3.96727e-011,2.72081e-012,-2.63524e-023,-7.70598e-016,-1.02288e-023,mela_gialla
0.0754987, 0.000793327,5.01778e-009,1.40608e-012,4.19605e-012,6.20373e-025,-2.96051e-016,1.01733e-023,mela_gialla
