meanHue, mom1, mom2, mom3, mom4, mom5, mom6, mom7,stdDevHue,entropy,area,distance,class
0.0521759, 0.000899168,1.55752e-008,5.92865e-012,2.51623e-012,-6.78283e-024,-3.11583e-016,6.96015e-024,16.6757,5.14516,22863.5,527,mela_gialla
0.0505385, 0.00094849,1.2573e-008,4.10497e-012,4.10692e-012,-9.8255e-024,-4.56746e-016,1.37045e-023,15.1053,5.45225,23909,526,mela_gialla
0.0506867, 0.000952526,1.32695e-008,4.31119e-012,4.24263e-012,-1.07676e-023,-4.85214e-016,1.46045e-023,15.1428,5.46973,23907.5,527,mela_gialla
0.0496678, 0.000969899,1.60971e-008,5.92294e-012,4.62079e-012,-1.55025e-023,-5.82118e-016,1.85483e-023,15.5997,5.40238,23713.5,525,mela_gialla
0.0466085, 0.000911436,4.46795e-008,1.75193e-012,9.87209e-013,-1.29258e-024,-2.07201e-016,1.21656e-025,17.4961,4.45504,17922,582,mela_gialla
0.0508973, 0.00096645,1.30101e-008,8.76062e-013,4.93249e-012,-1.02322e-023,-5.19389e-016,6.58915e-025,15.7869,5.2385,22058,575,mela_gialla
0.0535965, 0.00112263,3.08444e-008,3.85703e-011,1.39776e-011,1.81761e-022,-3.29104e-016,2.68875e-022,18.3821,4.92014,10684.5,879,mela_gialla
0.0502033, 0.000939391,1.08629e-008,1.2972e-012,3.62909e-012,-4.37096e-024,-2.69856e-016,-6.54949e-024,16.6977,4.86845,21895.5,569,mela_gialla
0.0540678, 0.000952582,1.10344e-008,1.13084e-012,3.88262e-012,-6.1419e-024,-3.07386e-016,-5.3352e-024,16.7211,5.18776,21828,569,mela_gialla
0.053557, 0.000953633,1.12202e-008,9.82088e-013,3.98537e-012,-5.32738e-024,-3.26879e-016,-5.81252e-024,16.779,5.15151,21785.5,568,mela_gialla
0.0501629, 0.00093107,1.05763e-008,1.40496e-012,3.26637e-012,-3.9995e-024,-2.43981e-016,-5.74161e-024,16.7356,4.84583,21862.5,566,mela_gialla
0.0519083, 0.000948815,1.12985e-008,1.65659e-012,3.96904e-012,-5.17862e-024,-3.0023e-016,-8.76133e-024,16.9111,5.04557,21878,568,mela_gialla
0.0504564, 0.000996193,1.87134e-008,6.38359e-013,6.8641e-012,9.80963e-025,-5.2292e-016,-1.43349e-023,17.0505,4.88681,17559,717,mela_gialla
0.0518713, 0.00102981,1.62627e-008,8.83056e-013,9.61417e-012,1.0349e-023,-6.58348e-016,-2.60314e-023,17.2499,5.00121,18003.5,715,mela_gialla
0.0499948, 0.000957967,3.05638e-008,1.57283e-012,4.13187e-012,-2.92467e-024,-5.27757e-016,-1.0119e-023,18.0484,4.61149,15924,724,mela_gialla
0.0495658, 0.000972609,3.41624e-008,3.33034e-012,4.33415e-012,-1.40676e-023,-6.03134e-016,-8.55838e-024,17.9287,4.5942,15849,722,mela_gialla
0.0510027, 0.000976708,3.22431e-008,2.1475e-012,4.67067e-012,-4.78999e-024,-5.94227e-016,-1.39952e-023,17.9755,4.70373,15845,720,mela_gialla
0.053291, 0.00111689,2.88675e-008,3.5495e-011,1.36589e-011,1.77741e-022,-2.71591e-016,2.42609e-022,18.2051,4.94711,10978.5,874,mela_gialla
0.0308438, 0.00224716,4.19108e-007,4.89238e-009,2.25846e-009,4.0756e-018,1.18941e-012,-6.30455e-018,29.9021,1.40675,18126.5,757,bicchiere
0.0295685, 0.00235835,3.0471e-007,6.84651e-009,2.59655e-009,-2.49007e-018,5.17577e-013,-1.06609e-017,29.3548,1.3557,18118,755,bicchiere
0.025763, 0.00306001,1.23055e-006,8.78982e-009,4.65836e-009,1.93215e-017,4.49435e-012,-2.26986e-017,27.631,1.22699,18089,755,bicchiere
0.0256964, 0.00298354,6.34216e-007,1.0984e-008,5.46687e-009,1.61751e-017,3.40673e-012,-3.91536e-017,27.5939,1.223,18089.5,756,bicchiere
0.0356442, 0.00210164,2.29956e-007,4.16384e-009,1.17029e-009,-1.10487e-018,1.61644e-014,-2.3352e-018,31.8409,1.60148,18039,756,bicchiere
0.0338274, 0.0022948,1.8035e-007,6.88654e-009,1.61378e-009,-2.61299e-018,-8.75985e-014,-4.70262e-018,31.1892,1.52529,18069.5,752,bicchiere
0.0335159, 0.00214336,1.58561e-007,4.96725e-009,1.64265e-009,-2.29053e-018,-3.2437e-014,-4.09513e-018,31.0682,1.50544,18065.5,756,bicchiere
0.0332606, 0.0015114,5.71014e-007,5.55271e-010,9.55588e-010,6.14179e-019,7.19533e-013,-3.27584e-019,31.1279,1.4501,20359,705,bicchiere
0.0328235, 0.00166046,5.20016e-007,7.15998e-010,1.31484e-009,9.51054e-020,8.55175e-013,-1.2722e-018,30.9118,1.45279,20350.5,711,bicchiere
0.0343344, 0.00160828,5.79682e-007,5.58769e-010,1.0757e-009,6.24977e-019,8.03662e-013,-5.52189e-019,31.5231,1.52294,20341,708,bicchiere
0.0277192, 0.00431833,7.80797e-006,2.63479e-008,1.82919e-009,-1.09104e-017,-4.88003e-012,6.49785e-018,28.5441,1.29775,11654.5,883,bicchiere
0.0163269, 0.00759384,1.04432e-005,1.86988e-007,2.33043e-008,1.1714e-015,-2.84283e-011,9.97203e-016,22.3212,0.871004,17716.5,768,bicchiere
0.0120658, 0.00522932,1.00804e-005,6.67909e-008,1.22504e-007,1.10527e-014,3.86232e-010,-7.92303e-016,19.2796,0.673824,18007.5,747,bicchiere
0.0161011, 0.0042332,4.64227e-006,5.25497e-008,8.06133e-008,5.23416e-015,1.69078e-010,3.64057e-016,21.9706,0.88197,24955,539,bicchiere
0.0135851, 0.00779425,1.02623e-005,2.074e-008,1.7171e-008,3.17695e-016,3.16753e-011,6.38094e-017,20.6362,0.797813,24585.5,524,bicchiere
0.0191757, 0.0066774,1.974e-005,1.29629e-007,4.17809e-008,3.0484e-015,1.22566e-010,4.02131e-016,24.1346,0.957028,11679.5,879,bicchiere
0.0364471, 0.00250432,2.32011e-006,4.17865e-009,3.05576e-010,-1.9906e-019,-3.51639e-013,2.82148e-019,32.1826,1.58385,11863,874,bicchiere
0.0474256, 0.00110122,1.21413e-007,4.10326e-011,1.70976e-010,1.42538e-020,5.71065e-014,-1.38343e-021,36.3069,1.95221,18101,640,bicchiere
0.0503738, 0.00100659,8.78262e-008,1.32896e-011,8.51849e-011,2.74809e-021,2.44002e-014,-8.14158e-022,37.1029,2.05786,18165.5,639,bicchiere
0.0884117, 0.000982872,1.91025e-007,6.66456e-012,1.08716e-011,-2.80078e-023,4.54906e-015,8.81991e-023,45.0825,3.1606,17548,611,bicchiere
0.0512376, 0.00135557,2.71413e-007,1.22791e-009,5.46374e-010,4.47259e-019,1.2069e-013,-1.54449e-020,37.9113,2.05507,12604.5,859,bicchiere
0.0527778, 0.00123906,1.88241e-007,5.15005e-010,2.04316e-010,6.17817e-020,-8.94685e-015,-2.39913e-020,38.2913,2.10524,11817,856,bicchiere
0.0374406, 0.00111218,2.44236e-007,1.55558e-011,1.13011e-010,3.832e-021,5.54996e-014,-2.78709e-021,32.9439,1.61676,12854.5,850,bicchiere
0.034852, 0.00122054,3.60069e-007,5.54758e-011,2.37636e-010,2.66501e-020,1.41515e-013,5.85063e-021,31.9465,1.5226,12772.5,848,bicchiere
0.0536065, 0.000963775,1.236e-007,3.65999e-012,2.92871e-011,-2.28522e-022,1.02881e-014,1.99295e-022,38.5759,2.08699,19495.5,611,bicchiere
0.052529, 0.000989479,1.41234e-007,2.08513e-012,4.55201e-011,1.01325e-022,1.71065e-014,4.31747e-022,38.2393,2.05563,18966.5,610,bicchiere
0.0556692, 0.00096202,1.09127e-007,2.13599e-011,2.35041e-011,-1.90747e-022,7.13758e-015,4.90884e-022,38.2597,2.20575,19726,613,bicchiere
0.0422727, 0.00118169,3.19773e-007,5.00742e-011,5.56127e-011,1.88198e-021,1.57278e-014,2.25183e-021,34.4706,1.7868,13672.5,826,bicchiere
0.0405535, 0.00114134,2.9966e-007,8.20503e-011,4.50908e-011,8.50946e-022,1.86179e-014,2.60731e-021,33.9295,1.70722,13626.5,828,bicchiere
0.0389009, 0.00130581,1.40611e-007,1.74627e-010,6.37281e-010,2.11688e-019,2.34569e-013,-1.96148e-020,33.268,1.68026,18561.5,623,bicchiere
0.0391653, 0.0012601,1.4683e-007,1.96544e-010,5.84323e-010,1.9802e-019,2.08688e-013,-4.39226e-022,33.4511,1.67127,18560.5,624,bicchiere
0.0388622, 0.00112814,1.71223e-007,7.93876e-011,2.62113e-010,3.66278e-020,1.07234e-013,9.38229e-021,33.213,1.64858,19734.5,608,bicchiere
0.0403175, 0.00107119,1.61988e-007,6.25547e-011,7.30974e-011,-2.04778e-021,1.85582e-014,-4.49878e-021,33.5291,1.72974,13881.5,815,bicchiere
0.0564349, 0.00113358,5.81945e-009,3.42421e-010,3.1984e-010,9.78851e-020,-1.06991e-014,4.02761e-020,38.0864,2.30595,13868.5,815,bicchiere
0.0546646, 0.00109446,1.38182e-008,1.53605e-010,1.93042e-010,2.83416e-020,-1.45273e-014,1.73708e-020,37.6904,2.23483,13854,816,bicchiere
0.0464397, 0.00181107,1.96946e-007,2.00448e-009,4.84551e-010,-1.48322e-019,-1.96644e-014,-4.53922e-019,35.2863,2.005,19846.5,608,bicchiere
0.0505692, 0.00169088,1.48707e-007,2.05398e-009,3.39937e-010,-2.34075e-019,-1.11676e-013,-1.60915e-019,36.6079,2.13979,19897,608,bicchiere
0.0532357, 0.00163174,1.3769e-007,1.84544e-009,3.11836e-010,-2.34726e-019,-1.15706e-013,2.93888e-020,37.3623,2.22617,19897.5,607,bicchiere
0.0525566, 0.00165556,1.33508e-007,1.87948e-009,3.3742e-010,-2.61371e-019,-1.19795e-013,-6.23492e-020,37.1916,2.20377,19888.5,611,bicchiere
0.0496386, 0.00167664,1.3181e-007,1.8645e-009,3.46993e-010,-2.46102e-019,-9.93433e-014,-1.3165e-019,36.3311,2.11497,19884,604,bicchiere
0.0458863, 0.00181843,1.42699e-007,2.39628e-009,5.738e-010,-3.72389e-019,-1.20706e-013,-5.60388e-019,35.2276,1.98282,19881,607,bicchiere
0.0484603, 0.00164146,1.61731e-007,1.47878e-009,3.30073e-010,-7.97191e-020,-3.16507e-014,-2.16386e-019,35.9854,2.04784,19842.5,604,bicchiere
0.0500453, 0.00172006,1.52579e-007,1.9441e-009,3.86603e-010,-3.28131e-019,-1.41405e-013,-6.82999e-020,36.3992,2.13956,19858.5,604,bicchiere
0.0498294, 0.00109512,7.36122e-008,2.88374e-011,1.23642e-010,5.66312e-021,3.33407e-014,-4.73671e-021,36.7867,2.04585,18291.5,634,bicchiere
0.0481678, 0.00113946,8.56237e-008,4.10837e-011,1.60841e-010,1.2184e-020,4.70627e-014,-4.74303e-021,36.4205,2.00408,18272.5,637,bicchiere
0.034681, 0.00121983,2.61972e-007,1.20885e-010,3.30283e-010,6.53274e-020,1.68211e-013,9.36832e-021,31.6265,1.53038,13628.5,821,bicchiere
